imagem;caminho;status;qtd_faces;tempo_ms
1.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\1.png;Nenhum rosto detectado;0;332,487
10.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\10.png;Reconhecimento concluído;1;51,094
100.JPG;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\100.JPG;Reconhecimento concluído;1;143,554
11.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\11.png;Reconhecimento concluído;1;38,253
12.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\12.png;Reconhecimento concluído;1;81,868
13.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\13.png;Nenhum rosto detectado;0;74,614
14.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\14.png;Reconhecimento concluído;1;105,898
15.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\15.png;Reconhecimento concluído;1;103,374
16.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\16.png;Reconhecimento concluído;2;107,653
17.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\17.png;Reconhecimento concluído;2;131,036
18.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\18.png;Reconhecimento concluído;1;88,492
19.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\19.png;Reconhecimento concluído;1;101,595
2.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\2.png;Reconhecimento concluído;1;43,675
20.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\20.png;Reconhecimento concluído;1;95,761
21.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\21.png;Nenhum rosto detectado;0;29,057
22.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\22.png;Nenhum rosto detectado;0;54,193
23.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\23.png;Nenhum rosto detectado;0;61,189
24.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\24.png;Nenhum rosto detectado;0;23,714
25.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\25.png;Reconhecimento concluído;1;38,889
26.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\26.png;Reconhecimento concluído;1;31,672
27.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\27.png;Reconhecimento concluído;1;31,631
28.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\28.png;Reconhecimento concluído;1;32,564
29.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\29.png;Reconhecimento concluído;1;83,525
3.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\3.png;Reconhecimento concluído;1;33,913
